model,domain,predicted_gap,n_examples,n_classes,chance,bag_of_words_acc,best_layer,best_resolver,best_probe_type,target_acc,max_earlier_acc,headline_gap_pp,bootstrap_gap_pp,bootstrap_ci_lo_pp,bootstrap_ci_hi_pp,p_gap_positive,observed_sign,pre_reg_matches,ablation_zero_drop_pp,ablation_mean_drop_pp,elapsed_seconds
google/gemma-2-27b,code,negative,507,5,0.2,0.6983886623956513,45,last_token,linear,0.9328479906814211,0.8345175694039992,9.833042127742186,10.957669193506085,5.727830073515448,16.57899476323737,1.0,strong_positive,False,64.48262473306154,65.0708600271792,496.54
google/gemma-2-2b,code,negative,507,5,0.2,0.6983886623956513,25,newline,linear,0.9229858279945642,0.8264026402640263,9.658318773053786,12.328305347379992,7.102096273291923,17.833823136521502,1.0,strong_positive,False,63.29838866239565,62.90429042904291,320.39
google/gemma-2-9b,code,negative,507,5,0.2,0.6983886623956513,41,newline,linear,0.9663948747815958,0.865851291011454,10.054358377014182,9.98523627886045,5.820105820105825,14.864983598875353,1.0,strong_positive,False,68.03533294505921,67.04717530576588,392.03
gpt2,code,negative,507,5,0.2,0.7456804503979809,2,colon,linear,0.8264414676761793,0.6943506115317415,13.209085614443783,12.715569766657445,5.387467287002031,19.84998187092096,0.998,strong_positive,False,53.25373713841972,53.057658707047175,398.61
gpt2-medium,code,negative,507,5,0.2,0.7456804503979809,0,newline,linear,0.7929139972820811,0.6509415647447098,14.197243253737135,13.664110556303433,6.146477663230241,21.249597293814425,1.0,strong_positive,False,50.885264997087944,50.689186565715396,470.38
gpt2-xl,code,negative,507,5,0.2,0.7456804503979809,0,newline,linear,0.806658901184236,0.686371578334304,12.028732284993204,11.191550545083738,4.232804232804233,17.91576086956522,1.0,strong_positive,False,52.061735585323234,52.45583381867598,507.17
Qwen/Qwen3-1.7B-Base,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,6,question_mark,mlp,0.47821358748778103,0.5217864125122189,-4.357282502443788,-20.43072161379459,-38.59649122807018,0.0,0.024,negative,False,33.52211632453568,34.77211632453568,3023.69
Qwen/Qwen3-1.7B-Base,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,3,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-28.108209824041317,-39.5546875,-14.625000000000016,0.0,near_zero,False,36.02333822091887,37.27333822091887,1027.75
Qwen/Qwen3-8B-Base,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,6,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-28.713491611055737,-40.914351851851855,-15.714285714285717,0.0,near_zero,False,37.27333822091886,37.89833822091886,2198.93
Qwen/Qwen3-8B-Base,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,6,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-28.713491611055737,-40.914351851851855,-15.714285714285717,0.0,near_zero,False,37.27333822091886,37.89833822091886,1571.29
google/gemma-2-27b,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,4,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-28.7816403391509,-41.029713114754095,-15.714285714285717,0.0,near_zero,False,37.879398826979475,38.504398826979475,2202.95
google/gemma-2-2b,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,4,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-28.694221345858246,-40.868245294474804,-15.88392857142858,0.0,near_zero,False,35.39833822091886,36.648338220918866,1470.31
google/gemma-2-2b,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,4,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-28.694221345858246,-40.868245294474804,-15.88392857142858,0.0,near_zero,False,35.39833822091886,36.648338220918866,924.34
google/gemma-2-2b-it,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,3,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-28.662908872083914,-41.59198113207548,-15.714285714285717,0.0,near_zero,False,36.648338220918866,36.648338220918866,884.24
google/gemma-2-9b,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,4,newline,linear,0.5157258064516129,0.5217864125122189,-0.6060606060605989,-26.666119730109646,-38.88888888888889,-14.835453878150235,0.0,near_zero,False,38.504398826979475,38.504398826979475,2910.24
google/gemma-2-9b,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,4,newline,linear,0.5157258064516129,0.5217864125122189,-0.6060606060605989,-26.666119730109646,-38.88888888888889,-14.835453878150235,0.0,near_zero,False,38.504398826979475,38.504398826979475,1974.97
google/gemma-2-27b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,15,last_word_before_question_mark,linear,0.9310344827586207,0.8137931034482758,11.724137931034484,6.636695779857391,-4.69076812116841,17.647058823529417,0.846,strong_positive,False,21.379310344827594,18.620689655172406,1260.53
google/gemma-2-2b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,13,question_mark,linear,0.9517241379310344,0.8137931034482758,13.793103448275856,8.17088427775181,0.0,17.171644844517175,0.944,strong_positive,False,13.793103448275856,13.103448275862073,338.32
google/gemma-2-9b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,24,last_word_before_question_mark,linear,0.9379310344827587,0.8275862068965518,11.03448275862069,9.346079679474837,0.0,20.214285714285708,0.952,strong_positive,False,36.55172413793104,23.448275862068968,1109.68
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.825,0.25,57.49999999999999,61.09420250656324,48.60294117647059,71.63221056877774,1.0,strong_positive,True,0.9999999999999898,0.49999999999998934,589.8
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,15,last_word_before_newline,linear,0.54,0.2,34.0,36.246948081211805,24.49104949104949,48.32467532467531,1.0,strong_positive,True,0.0,1.000000000000012,1836.13
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.8300000000000001,0.24,59.00000000000001,63.63786774623327,52.08228825004824,74.46481876332622,1.0,strong_positive,True,1.5000000000000013,-0.49999999999998934,665.92
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.825,0.25,57.49999999999999,61.09420250656324,48.60294117647059,71.63221056877774,1.0,strong_positive,True,0.9999999999999898,0.49999999999998934,601.73
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.805,0.22999999999999998,57.50000000000001,60.262869846810055,47.35416666666667,72.67028985507245,1.0,strong_positive,True,1.0000000000000009,0.5000000000000004,580.02
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.8100000000000002,0.215,59.50000000000002,58.32312665864332,45.57846239761727,70.07835820895522,1.0,strong_positive,True,0.5000000000000115,-0.49999999999998934,627.69
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.75,0.225,52.5,55.03538046944634,42.857142857142854,67.14475567368636,1.0,strong_positive,True,-1.0000000000000009,1.5000000000000013,644.83
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,5,last_word_before_newline,linear,0.6599999999999999,0.21000000000000002,44.99999999999999,44.84222630238033,33.103070175438596,57.82431430689399,1.0,strong_positive,True,-1.1102230246251565e-14,0.49999999999998934,2371.21
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.805,0.22000000000000003,58.5,62.85769496543712,50.66666666666667,74.30598455598455,1.0,strong_positive,True,0.0,0.0,646.74
EleutherAI/pythia-1b-deduped,rhyme,strong_positive,200,10,0.1,0.43,1,last_word_before_newline,linear,0.85,0.22999999999999998,62.0,62.08683802856847,49.30921052631579,73.28873239436619,1.0,strong_positive,True,0.0,-0.5000000000000115,412.93
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,last_word_before_newline,linear,0.835,0.255,57.99999999999999,57.800661704295365,46.208381171067735,70.12987012987013,1.0,strong_positive,True,1.0000000000000009,1.0000000000000009,820.57
EleutherAI/pythia-410m-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.79,0.215,57.50000000000001,61.58839308149613,50.0,73.52864583333333,1.0,strong_positive,True,2.000000000000013,1.0000000000000009,564.24
Qwen/Qwen3-1.7B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,2,last_word_before_newline,linear,0.89,0.25,64.0,64.2708108378592,52.941176470588225,75.35472972972971,1.0,strong_positive,True,-1.0000000000000009,-1.9999999999999907,3065.83
Qwen/Qwen3-1.7B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,2,last_word_before_newline,linear,0.89,0.25,64.0,64.2708108378592,52.941176470588225,75.35472972972971,1.0,strong_positive,True,-1.0000000000000009,-1.9999999999999907,773.0
Qwen/Qwen3-8B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,3,last_word_before_newline,linear,0.9099999999999999,0.24500000000000002,66.49999999999999,67.48156235947712,55.15559573658165,78.68506493506493,1.0,strong_positive,True,-2.220446049250313e-14,-1.000000000000023,1544.38
Qwen/Qwen3-8B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,3,last_word_before_newline,linear,0.9099999999999999,0.24500000000000002,66.49999999999999,67.48156235947712,55.15559573658165,78.68506493506493,1.0,strong_positive,True,-2.220446049250313e-14,-1.000000000000023,1242.08
google/gemma-2-27b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,21,last_word_before_newline,linear,0.985,0.275,71.0,65.88598511447998,54.663760896637605,75.02947806485172,1.0,strong_positive,True,22.499999999999996,14.499999999999991,1548.27
google/gemma-2-2b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,5,newline,linear,0.9949999999999999,0.27,72.49999999999999,72.01187828515219,63.11538461538462,81.15942028985508,1.0,strong_positive,True,36.999999999999986,29.999999999999993,1059.6
google/gemma-2-2b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,5,newline,linear,0.9949999999999999,0.27,72.49999999999999,72.01187828515219,63.11538461538462,81.15942028985508,1.0,strong_positive,True,36.999999999999986,29.999999999999993,886.9
google/gemma-2-2b-it,rhyme,strong_positive,200,10,0.1,0.38499999999999995,6,newline,linear,0.9949999999999999,0.25999999999999995,73.49999999999999,72.79107743898791,63.19871794871794,81.8844696969697,1.0,strong_positive,True,24.49999999999999,20.499999999999986,821.0
google/gemma-2-9b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,10,newline,linear,1.0,0.275,72.5,73.24206105119845,64.23603793466806,82.31812291743798,1.0,strong_positive,True,28.999999999999993,31.500000000000007,1533.58
google/gemma-2-9b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,10,newline,linear,1.0,0.275,72.5,73.24206105119845,64.23603793466806,82.31812291743798,1.0,strong_positive,True,28.999999999999993,31.500000000000007,1337.67
gpt2,rhyme,strong_positive,200,10,0.1,0.43,4,last_word_before_newline,linear,0.7349999999999999,0.25000000000000006,48.49999999999998,47.5772072012025,33.317034139402566,58.94099051633298,1.0,strong_positive,True,1.9999999999999796,3.0000000000000027,407.31
gpt2-medium,rhyme,strong_positive,200,10,0.1,0.43,4,last_word_before_newline,linear,0.76,0.25,51.0,52.28143113294107,39.71545124899274,63.64717978848413,1.0,strong_positive,True,0.5000000000000115,2.499999999999991,579.55
gpt2-xl,rhyme,strong_positive,200,10,0.1,0.43,13,last_word_before_newline,linear,0.76,0.255,50.5,51.485713795390986,38.57142857142858,63.381359300476944,1.0,strong_positive,True,2.0000000000000018,1.0000000000000009,1650.4
Qwen/Qwen3-1.7B-Base,trivia,negative,100,5,0.2,1.0,2,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,182.56
google/gemma-2-27b,trivia,negative,100,5,0.2,1.0,4,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,631.45
google/gemma-2-2b,trivia,negative,100,5,0.2,1.0,2,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,192.38
google/gemma-2-9b,trivia,negative,100,5,0.2,1.0,4,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,333.46
