model,domain,predicted_gap,n_examples,n_classes,chance,bag_of_words_acc,best_layer,best_resolver,best_probe_type,target_acc,max_earlier_acc,headline_gap_pp,bootstrap_gap_pp,bootstrap_ci_lo_pp,bootstrap_ci_hi_pp,p_gap_positive,observed_sign,pre_reg_matches,ablation_zero_drop_pp,ablation_mean_drop_pp,elapsed_seconds
EleutherAI/pythia-2.8b-deduped,code,negative,507,5,0.2,0.7575616385167928,10,colon,linear,0.861968549796156,0.7495631916132789,11.24053581828771,10.744319615012934,4.683480646144468,17.455784819454674,1.0,strong_positive,False,59.365171811298765,59.955348476024064,725.58
EleutherAI/pythia-410m-deduped,code,negative,507,5,0.2,0.7575616385167928,0,colon,linear,0.8127159774801009,0.6864686468646864,12.624733061541448,13.471461466572823,6.751025530307119,20.169607962872497,1.0,strong_positive,False,54.83401281304601,54.63793438167346,711.98
EleutherAI/pythia-6.9b-deduped,code,negative,507,5,0.2,0.7575616385167928,0,last_token,linear,0.7258978839060376,0.6410017472335469,8.489613667249074,8.943815099895943,1.5997980430083085,16.068830570902392,0.988,strong_positive,False,46.35216462822752,45.56202679091438,9517.8
EleutherAI/pythia-6.9b-deduped,code,negative,507,5,0.2,0.7575616385167928,0,last_token,linear,0.806736556008542,0.6805280528052806,12.620850320326138,10.814325079096346,3.8776089625537136,18.279273014834203,0.996,strong_positive,False,53.64589400116482,53.64589400116482,4662.83
EleutherAI/pythia-6.9b-deduped,code,negative,507,5,0.2,0.7575616385167928,5,last_token,linear,0.8875946418171228,0.7633663366336633,12.42283051834595,13.14344695940823,5.974002271252439,19.835945304695304,1.0,strong_positive,False,61.533682780042696,61.931663754610746,4635.23
EleutherAI/pythia-6.9b-deduped,code,negative,507,5,0.2,0.7575616385167928,0,colon,linear,0.7653271209473888,0.6530188312948942,11.23082896524945,10.194014667860682,3.198127703164128,17.43913857677903,1.0,strong_positive,False,50.297029702970285,49.3069306930693,4510.01
EleutherAI/pythia-6.9b-deduped,code,negative,507,5,0.2,0.7575616385167928,5,last_token,linear,0.8816734614637933,0.7634439914579693,11.822947000582406,12.740880894524931,4.997221450402892,19.681178795628917,1.0,strong_positive,False,60.94156474470975,61.1376431760823,4927.86
Qwen/Qwen3-1.7B-Base,code,negative,507,5,0.2,0.7733061541448262,4,colon,linear,0.8796350223257619,0.7692875169869927,11.034750533876913,10.33787447105861,3.899208566108007,17.204301075268813,1.0,strong_positive,False,57.185012618908935,57.97709182682973,283.03
Qwen/Qwen3-8B-Base,code,negative,507,5,0.2,0.7733061541448262,0,colon,linear,0.810541642399534,0.674645699864104,13.589594253542991,13.937429704348133,6.574491082687802,20.65217391304348,1.0,strong_positive,False,50.67171423024654,50.67171423024654,317.69
allenai/OLMo-7B-0724-hf,code,negative,507,5,0.2,0.7575616385167928,16,last_token,linear,0.9407881964667055,0.8324208891477383,10.836730731896726,11.493272829606555,5.769224949308481,18.05855661192739,0.998,strong_positive,False,66.85303824500097,67.04911667637352,18532.21
google/gemma-2-27b,code,negative,507,5,0.2,0.6983886623956513,45,last_token,linear,0.9328479906814211,0.8345175694039992,9.833042127742186,10.957669193506085,5.727830073515448,16.57899476323737,1.0,strong_positive,False,64.48262473306154,65.0708600271792,496.54
google/gemma-2-2b,code,negative,507,5,0.2,0.6983886623956513,25,newline,linear,0.9229858279945642,0.8264026402640263,9.658318773053786,12.328305347379992,7.102096273291923,17.833823136521502,1.0,strong_positive,False,63.29838866239565,62.90429042904291,320.39
google/gemma-2-9b,code,negative,507,5,0.2,0.6983886623956513,41,newline,linear,0.9663948747815958,0.865851291011454,10.054358377014182,9.98523627886045,5.820105820105825,14.864983598875353,1.0,strong_positive,False,68.03533294505921,67.04717530576588,392.03
gpt2,code,negative,507,5,0.2,0.7456804503979809,2,colon,linear,0.8264414676761793,0.6943506115317415,13.209085614443783,12.715569766657445,5.387467287002031,19.84998187092096,0.998,strong_positive,False,53.25373713841972,53.057658707047175,398.61
gpt2-medium,code,negative,507,5,0.2,0.7456804503979809,0,newline,linear,0.7929139972820811,0.6509415647447098,14.197243253737135,13.664110556303433,6.146477663230241,21.249597293814425,1.0,strong_positive,False,50.885264997087944,50.689186565715396,470.38
gpt2-xl,code,negative,507,5,0.2,0.7456804503979809,0,newline,linear,0.806658901184236,0.686371578334304,12.028732284993204,11.191550545083738,4.232804232804233,17.91576086956522,1.0,strong_positive,False,52.061735585323234,52.45583381867598,507.17
mistralai/Mistral-7B-v0.3,code,negative,507,5,0.2,0.7574839836924868,31,newline,linear,0.9506309454474859,0.8145214521452144,13.61094933022715,13.132893661243253,7.8632073982893065,18.613272205242197,1.0,strong_positive,False,64.2787808192584,64.48068336245389,2540.13
stabilityai/stablelm-2-1_6b,code,negative,507,5,0.2,0.7634245777518928,23,colon,linear,0.9270821199767036,0.8185983304212774,10.848378955542625,11.157809668568747,5.880948295584541,16.806429789987646,1.0,strong_positive,False,60.947388856532726,61.147350029120574,8034.78
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,5,last_token,linear,0.4969758064516129,0.5217864125122189,-2.4810606060606033,-1.671456363169336,-5.610587002096439,0.0,0.0,negative,False,-0.6249999999999978,0.0,13012.8
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,7,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.46845434008012743,-2.6012845849802364,0.0,0.0,near_zero,False,-0.6249999999999978,-0.6249999999999978,13395.7
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,8,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-0.7500247503072395,-3.253569539925966,0.0,0.0,near_zero,False,-1.8560606060606055,-0.6250000000000089,15010.0
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,8,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-0.79301269490037,-3.3629943502824866,0.0,0.0,near_zero,False,-0.6250000000000089,-1.2500000000000067,11934.39
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,2,question_mark,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.5372681561586571,-3.307377049180329,0.0,0.0,near_zero,False,-1.2310606060605966,-1.2310606060605966,10757.11
EleutherAI/pythia-1.4b-deduped,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,9,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-0.5318943165776091,-2.6012845849802364,0.0,0.0,near_zero,False,-1.8560606060606055,-1.2500000000000067,13016.8
Qwen/Qwen3-1.7B-Base,qa_neutral,strong_positive,161,2,0.5,0.12424242424242424,6,question_mark,mlp,0.47821358748778103,0.5217864125122189,-4.357282502443788,-20.43072161379459,-38.59649122807018,0.0,0.024,negative,False,33.52211632453568,34.77211632453568,3023.69
Qwen/Qwen3-1.7B-Base,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,3,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.6860311677204358,-3.8461538461538436,0.0,0.0,near_zero,False,-1.2310606060605966,-1.2310606060605966,907.25
Qwen/Qwen3-8B-Base,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,10,last_token,mlp,0.49658479960899315,0.5217864125122189,-2.5201612903225756,-2.826016108004886,-6.557377049180335,0.0,0.0,negative,False,-1.289100684261979,-1.8750000000000044,
Qwen/Qwen3-8B-Base,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,6,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-0.7554583718235852,-3.582375478927206,0.0,0.0,near_zero,False,0.0,-1.2310606060606077,1255.22
allenai/OLMo-7B-0724-hf,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,3,newline,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.5497743683448911,-3.2014848950332806,0.0,0.0,near_zero,False,0.0,-0.6249999999999978,19744.1
google/gemma-2-27b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,4,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.7985049153437559,-3.2786885245901676,0.0,0.0,near_zero,False,0.6250000000000089,0.6250000000000089,1837.05
google/gemma-2-2b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,16,last_word_before_question_mark,mlp,0.4842741935483871,0.5217864125122189,-3.7512218963831834,-3.6568155209043427,-8.196721311475413,0.0,0.0,negative,False,-3.7512218963831834,-3.7512218963831834,
google/gemma-2-2b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,4,last_token,linear,0.5032258064516129,0.5217864125122189,-1.8560606060606055,-0.7606270553288126,-3.420514319111629,0.0,0.0,near_zero,False,-1.8560606060606055,-0.6250000000000089,857.07
google/gemma-2-2b-it,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,3,last_token,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.633242144659004,-3.253569539925966,0.0,0.0,near_zero,False,-1.2310606060605966,-1.2310606060605966,848.83
google/gemma-2-9b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,26,last_token,mlp,0.48446358748778107,0.5217864125122189,-3.7322825024437845,-2.589249292822038,-6.666666666666665,0.0,0.024,negative,False,-1.8560606060606055,-3.1072825024437867,
google/gemma-2-9b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,4,newline,linear,0.5157258064516129,0.5217864125122189,-0.6060606060605989,-0.5240811780282716,-2.6012845849802364,0.0,0.0,near_zero,False,0.0,0.0,1676.39
mistralai/Mistral-7B-v0.3,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,8,newline,linear,0.509475806451613,0.5217864125122189,-1.2310606060605966,-0.5521852927480655,-3.1779233870967727,0.0,0.0,near_zero,False,-0.6060606060605989,-1.2310606060605966,12411.81
stabilityai/stablelm-2-1_6b,qa_neutral,strong_positive,161,2,0.5,0.509475806451613,3,question_mark,linear,0.509286412512219,0.5217864125122189,-1.2499999999999956,-0.5312959491036433,-3.3333333333333326,0.0,0.0,near_zero,False,0.60606060606061,0.60606060606061,10786.84
EleutherAI/pythia-1.4b-deduped,qa_suggestive,near_zero,145,2,0.5,0.6827586206896552,17,last_word_before_question_mark,linear,0.5517241379310345,0.6827586206896552,-13.103448275862073,-4.622009230549249,-20.0,10.533023049645386,0.256,negative,False,-1.379310344827589,2.0689655172413612,58446.5
google/gemma-2-27b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,15,last_word_before_question_mark,linear,0.9310344827586207,0.8137931034482758,11.724137931034484,6.636695779857391,-4.69076812116841,17.647058823529417,0.846,strong_positive,False,21.379310344827594,18.620689655172406,1260.53
google/gemma-2-2b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,13,question_mark,linear,0.9517241379310344,0.8137931034482758,13.793103448275856,8.17088427775181,0.0,17.171644844517175,0.944,strong_positive,False,13.793103448275856,13.103448275862073,338.32
google/gemma-2-9b,qa_suggestive,near_zero,145,2,0.5,0.6482758620689655,24,last_word_before_question_mark,linear,0.9379310344827587,0.8275862068965518,11.03448275862069,9.346079679474837,0.0,20.214285714285708,0.952,strong_positive,False,36.55172413793104,23.448275862068968,1109.68
mistralai/Mistral-7B-v0.3,qa_suggestive,near_zero,145,2,0.5,0.6758620689655171,3,question_mark,linear,0.9241379310344827,0.7793103448275861,14.482758620689662,10.090144480884529,0.0,21.02870333199517,0.962,strong_positive,False,8.965517241379306,5.517241379310334,24824.89
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.825,0.25,57.49999999999999,61.09420250656324,48.60294117647059,71.63221056877774,1.0,strong_positive,True,0.9999999999999898,0.49999999999998934,589.8
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,15,last_word_before_newline,linear,0.54,0.2,34.0,36.246948081211805,24.49104949104949,48.32467532467531,1.0,strong_positive,True,0.0,1.000000000000012,1836.13
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.8300000000000001,0.24,59.00000000000001,63.63786774623327,52.08228825004824,74.46481876332622,1.0,strong_positive,True,1.5000000000000013,-0.49999999999998934,665.92
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.825,0.25,57.49999999999999,61.09420250656324,48.60294117647059,71.63221056877774,1.0,strong_positive,True,0.9999999999999898,0.49999999999998934,601.73
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.805,0.22999999999999998,57.50000000000001,60.262869846810055,47.35416666666667,72.67028985507245,1.0,strong_positive,True,1.0000000000000009,0.5000000000000004,580.02
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.8100000000000002,0.215,59.50000000000002,58.32312665864332,45.57846239761727,70.07835820895522,1.0,strong_positive,True,0.5000000000000115,-0.49999999999998934,627.69
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.75,0.225,52.5,55.03538046944634,42.857142857142854,67.14475567368636,1.0,strong_positive,True,-1.0000000000000009,1.5000000000000013,644.83
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,5,last_word_before_newline,linear,0.6599999999999999,0.21000000000000002,44.99999999999999,44.84222630238033,33.103070175438596,57.82431430689399,1.0,strong_positive,True,-1.1102230246251565e-14,0.49999999999998934,2371.21
EleutherAI/pythia-1.4b-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.805,0.22000000000000003,58.5,62.85769496543712,50.66666666666667,74.30598455598455,1.0,strong_positive,True,0.0,0.0,646.74
EleutherAI/pythia-1b-deduped,rhyme,strong_positive,200,10,0.1,0.43,1,last_word_before_newline,linear,0.85,0.22999999999999998,62.0,62.08683802856847,49.30921052631579,73.28873239436619,1.0,strong_positive,True,0.0,-0.5000000000000115,412.93
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,last_word_before_newline,linear,0.835,0.255,57.99999999999999,57.800661704295365,46.208381171067735,70.12987012987013,1.0,strong_positive,True,1.0000000000000009,1.0000000000000009,820.57
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,6,last_word_before_newline,linear,0.525,0.2,32.5,35.342329569605084,22.447646404744255,47.75932400932399,1.0,strong_positive,True,1.0000000000000009,1.0000000000000009,3108.84
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,last_word_before_newline,linear,0.835,0.255,57.99999999999999,57.800661704295365,46.208381171067735,70.12987012987013,1.0,strong_positive,True,1.0000000000000009,1.0000000000000009,830.94
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,newline,linear,0.8099999999999999,0.215,59.5,58.99306918353645,46.70076726342711,72.05729166666667,1.0,strong_positive,True,0.0,-1.5000000000000013,742.65
EleutherAI/pythia-2.8b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,newline,linear,0.7749999999999999,0.25,52.49999999999999,50.04994254603723,36.18604854199406,62.597947761194014,1.0,strong_positive,True,1.9999999999999907,-1.1102230246251565e-14,727.66
EleutherAI/pythia-410m-deduped,rhyme,strong_positive,200,10,0.1,0.43,2,last_word_before_newline,linear,0.79,0.215,57.50000000000001,61.58839308149613,50.0,73.52864583333333,1.0,strong_positive,True,2.000000000000013,1.0000000000000009,564.24
EleutherAI/pythia-6.9b-deduped,rhyme,strong_positive,200,10,0.1,0.43,8,last_word_before_newline,linear,0.5700000000000001,0.21000000000000002,36.00000000000001,37.19086859715353,23.602941176470587,49.333748443337484,1.0,strong_positive,True,2.500000000000002,3.0000000000000027,22134.83
EleutherAI/pythia-6.9b-deduped,rhyme,strong_positive,200,10,0.1,0.43,20,last_word_before_newline,linear,0.8,0.25,55.00000000000001,52.70566887588941,40.78947368421053,63.88888888888889,1.0,strong_positive,True,10.999999999999998,0.5000000000000115,10164.98
EleutherAI/pythia-6.9b-deduped,rhyme,strong_positive,200,10,0.1,0.43,4,last_word_before_newline,linear,0.7799999999999999,0.255,52.49999999999999,53.200076023313315,42.362616099071204,64.05384615384615,1.0,strong_positive,True,-1.0000000000000009,-4.0000000000000036,6017.59
EleutherAI/pythia-6.9b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,last_word_before_newline,linear,0.7350000000000001,0.22000000000000003,51.500000000000014,49.14242713098342,34.88501082251082,61.70729250604351,1.0,strong_positive,True,-1.9999999999999907,-0.9999999999999898,4549.6
EleutherAI/pythia-6.9b-deduped,rhyme,strong_positive,200,10,0.1,0.43,3,last_word_before_newline,linear,0.8099999999999999,0.22000000000000003,58.999999999999986,58.008189209083795,45.39090909090909,69.93493150684931,1.0,strong_positive,True,-2.000000000000013,-2.000000000000013,10628.48
Qwen/Qwen3-1.7B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,2,last_word_before_newline,linear,0.89,0.25,64.0,64.2708108378592,52.941176470588225,75.35472972972971,1.0,strong_positive,True,-1.0000000000000009,-1.9999999999999907,3065.83
Qwen/Qwen3-1.7B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,2,last_word_before_newline,linear,0.89,0.25,64.0,64.2708108378592,52.941176470588225,75.35472972972971,1.0,strong_positive,True,-1.0000000000000009,-1.9999999999999907,773.0
Qwen/Qwen3-8B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,3,last_word_before_newline,linear,0.9099999999999999,0.24500000000000002,66.49999999999999,67.48156235947712,55.15559573658165,78.68506493506493,1.0,strong_positive,True,-2.220446049250313e-14,-1.000000000000023,
Qwen/Qwen3-8B-Base,rhyme,strong_positive,200,10,0.1,0.43500000000000005,3,last_word_before_newline,linear,0.9099999999999999,0.24500000000000002,66.49999999999999,67.48156235947712,55.15559573658165,78.68506493506493,1.0,strong_positive,True,-2.220446049250313e-14,-1.000000000000023,1242.08
allenai/OLMo-7B-0724-hf,rhyme,strong_positive,200,10,0.1,0.43,27,last_word_before_newline,linear,0.97,0.27,70.0,72.35715834277467,62.32778091473743,82.39467408585057,1.0,strong_positive,True,52.99999999999999,11.499999999999988,16250.2
google/gemma-2-27b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,21,last_word_before_newline,linear,0.985,0.275,71.0,65.88598511447998,54.663760896637605,75.02947806485172,1.0,strong_positive,True,22.499999999999996,14.499999999999991,1548.27
google/gemma-2-2b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,5,newline,linear,0.9949999999999999,0.27,72.49999999999999,72.01187828515219,63.11538461538462,81.15942028985508,1.0,strong_positive,True,36.999999999999986,29.999999999999993,
google/gemma-2-2b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,5,newline,linear,0.9949999999999999,0.27,72.49999999999999,72.01187828515219,63.11538461538462,81.15942028985508,1.0,strong_positive,True,36.999999999999986,29.999999999999993,886.9
google/gemma-2-2b-it,rhyme,strong_positive,200,10,0.1,0.38499999999999995,6,newline,linear,0.9949999999999999,0.25999999999999995,73.49999999999999,72.79107743898791,63.19871794871794,81.8844696969697,1.0,strong_positive,True,24.49999999999999,20.499999999999986,821.0
google/gemma-2-9b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,10,newline,linear,1.0,0.275,72.5,73.24206105119845,64.23603793466806,82.31812291743798,1.0,strong_positive,True,28.999999999999993,31.500000000000007,
google/gemma-2-9b,rhyme,strong_positive,200,10,0.1,0.38499999999999995,10,newline,linear,1.0,0.275,72.5,73.24206105119845,64.23603793466806,82.31812291743798,1.0,strong_positive,True,28.999999999999993,31.500000000000007,1337.67
gpt2,rhyme,strong_positive,200,10,0.1,0.43,4,last_word_before_newline,linear,0.7349999999999999,0.25000000000000006,48.49999999999998,47.5772072012025,33.317034139402566,58.94099051633298,1.0,strong_positive,True,1.9999999999999796,3.0000000000000027,407.31
gpt2-medium,rhyme,strong_positive,200,10,0.1,0.43,4,last_word_before_newline,linear,0.76,0.25,51.0,52.28143113294107,39.71545124899274,63.64717978848413,1.0,strong_positive,True,0.5000000000000115,2.499999999999991,579.55
gpt2-xl,rhyme,strong_positive,200,10,0.1,0.43,13,last_word_before_newline,linear,0.76,0.255,50.5,51.485713795390986,38.57142857142858,63.381359300476944,1.0,strong_positive,True,2.0000000000000018,1.0000000000000009,1650.4
mistralai/Mistral-7B-v0.3,rhyme,strong_positive,200,10,0.1,0.425,24,newline,linear,0.99,0.225,76.5,77.01069733777727,68.1155303030303,85.0384116993706,1.0,strong_positive,True,54.49999999999999,23.5,3133.62
stabilityai/stablelm-2-1_6b,rhyme,strong_positive,200,10,0.1,0.43500000000000005,2,last_word_before_newline,linear,0.8150000000000001,0.225,59.00000000000001,61.944156026880414,49.65909090909091,73.39167357083679,1.0,strong_positive,True,-3.499999999999992,-4.0000000000000036,8696.9
Qwen/Qwen3-1.7B-Base,trivia,negative,100,5,0.2,1.0,2,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,182.56
google/gemma-2-27b,trivia,negative,100,5,0.2,1.0,4,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,631.45
google/gemma-2-2b,trivia,negative,100,5,0.2,1.0,2,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,192.38
google/gemma-2-9b,trivia,negative,100,5,0.2,1.0,4,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,333.46
mistralai/Mistral-7B-v0.3,trivia,negative,100,5,0.2,1.0,3,colon,linear,1.0,1.0,0.0,0.0,0.0,0.0,0.0,near_zero,False,0.0,0.0,19584.1
